,LocationID,sum,max,mean,median,cluster
59,237,5729858.0,830.0,211.76206667159434,216.0,0
40,161,5423558.0,891.0,200.42712490761272,184.0,0
58,236,5138228.0,768.0,189.89681425086852,181.0,0
41,162,4182471.0,651.0,154.5742848695395,159.0,0
46,186,4080356.0,637.0,150.80592822559782,166.0,0
53,230,4008089.0,708.0,148.11311481467794,152.0,0
32,142,3978006.0,771.0,147.00144118842616,159.0,0
45,170,3617735.0,445.0,133.69803023023763,146.0,0
42,163,3493495.0,490.0,129.13044281806756,128.0,0
61,239,3431631.0,469.0,126.82031856313981,144.0,0
8,48,3351602.0,441.0,123.84443705428075,117.0,0
57,234,3269464.0,475.0,120.82722938763443,121.0,0
10,68,3197055.0,426.0,118.12506927766488,128.0,0
13,79,2964105.0,1239.0,109.54229646328393,78.0,0
31,141,2950867.0,391.0,109.0490391722099,126.0,0
43,164,2782840.0,350.0,102.8700280940411,108.0,2
65,249,2702291.0,862.0,99.8850816884749,78.0,0
21,107,2625082.0,359.0,97.0168526868209,102.0,2
30,140,2435140.0,317.0,90.02698805870827,80.0,2
60,238,2427447.0,408.0,89.72267603030863,92.0,2
68,263,2397070.0,319.0,88.61299027762375,99.0,2
52,229,2330577.0,274.0,86.15174478781606,96.0,2
64,246,2024141.0,470.0,74.83237827646124,67.0,2
16,90,1996365.0,268.0,73.79458840054707,77.0,2
6,43,1993304.0,310.0,73.68144013602928,64.0,2
17,100,1960892.0,238.0,72.49138632162662,78.0,2
54,231,1680141.0,293.0,62.11701419698314,62.0,2
22,113,1677633.0,288.0,62.01741155594987,66.0,2
67,262,1656813.0,237.0,61.254547471162375,59.0,2
23,114,1636253.0,769.0,60.47653015966883,44.0,2
56,233,1506704.0,215.0,55.69864330338989,59.0,2
33,143,1391977.0,256.0,51.45750619200769,53.0,2
29,137,1380055.0,228.0,51.0148972349549,53.0,2
35,148,1286197.0,879.0,47.545357090048796,27.0,2
34,144,1133721.0,435.0,41.91515084294588,36.0,2
39,158,1088230.0,350.0,40.231801545343636,34.0,2
36,151,1021518.0,164.0,37.766858917480036,40.0,1
50,211,945399.0,266.0,34.95393204421932,32.0,1
9,50,820691.0,163.0,30.342021591245192,31.0,1
12,75,775904.0,120.0,28.689369569236458,28.0,1
2,13,731470.0,139.0,27.04340431824904,25.0,1
14,87,688025.0,155.0,25.43812622471993,23.0,1
66,261,633331.0,102.0,23.41680840050285,20.0,1
26,125,616145.0,132.0,22.779687962141377,23.0,1
44,166,604087.0,200.0,22.33471364661515,21.0,1
15,88,351438.0,88.0,12.994084152924646,11.0,1
4,41,338700.0,139.0,12.523108777638098,11.0,1
3,24,337990.0,63.0,12.496857206241218,12.0,1
11,74,305491.0,86.0,11.295655389166205,10.0,1
49,209,238437.0,60.0,8.815654231522904,7.0,1
51,224,178846.0,53.0,6.612904418561657,6.0,1
7,45,177020.0,50.0,6.545387317433907,6.0,1
0,4,175867.0,153.0,6.5022738196472805,4.0,1
55,232,169621.0,58.0,6.271806248844518,5.0,1
5,42,143011.0,55.0,5.287695038083266,4.0,1
24,116,107018.0,51.0,3.9570345720096136,3.0,1
63,244,94454.0,56.0,3.4924755037899797,3.0,1
37,152,92340.0,38.0,3.4143094841930117,3.0,1
1,12,52124.0,27.0,1.9273063412830467,0.0,1
62,243,24261.0,21.0,0.8970604547975596,0.0,1
27,127,10120.0,24.0,0.374191162876687,0.0,1
48,202,6147.0,5.0,0.22728785357737105,0.0,1
47,194,5472.0,42.0,0.20232945091514143,0.0,1
38,153,1617.0,4.0,0.05978924015529673,0.0,1
28,128,941.0,4.0,0.03479386208171566,0.0,1
25,120,753.0,3.0,0.027842484747642816,0.0,1
20,105,28.0,1.0,0.001035311517840636,0.0,1
18,103,0.0,0.0,0.0,0.0,1
19,104,0.0,0.0,0.0,0.0,1
